"What is hydroponic farming?","Hydroponic farming is growing plants in nutrient solutions without soil, often in controlled environments."
"What is precision farming?","Precision farming uses technology like sensors, GPS, and drones to optimize inputs and maximize yield efficiently."
"What are cash crops?","Cash crops are grown primarily for sale and profit, such as cotton, sugarcane, coffee, tea, and tobacco."
"What is the benefit of drip irrigation?","Drip irrigation reduces water use by 30–70%, increases fertilizer efficiency, and improves crop yield."
"How to improve organic matter in soil?","Add compost, green manure crops, crop residues, and farmyard manure to increase soil organic content."
"What is contour farming?","Contour farming is plowing along the natural contours of land to prevent water runoff and soil erosion."
"Why do plants wilt during the day?","Plants wilt due to water stress, excessive transpiration, or root damage."
"How to test soil health?","Soil health can be tested using soil testing kits or government labs to analyze pH, nutrients, and organic matter."
"Which is the best fertilizer for maize?","Maize requires nitrogen-rich fertilizers like urea at sowing and top-dressing stages."
"What is the role of potassium in plants?","Potassium helps in water regulation, enzyme activation, and resistance against pests and diseases."
"How to store harvested grains safely?","Grains should be dried to safe moisture levels, stored in airtight containers, and treated with neem leaves or fumigants."
"Why is irrigation important?","Irrigation ensures continuous water supply, prevents drought stress, and increases yield."
"How to increase soil nitrogen naturally?","Grow leguminous crops, apply compost, and use biofertilizers like Rhizobium."
"Which crop requires the least water?","Millets like pearl millet, sorghum, and finger millet require very little water."
"How to increase rice yield?","Use improved seed varieties, proper fertilizer management, timely transplanting, and pest control."
"What is zero tillage?","Zero tillage means sowing crops without plowing, which conserves soil moisture and reduces cost."
"What is crop diversification?","Crop diversification means growing different types of crops together to reduce risk and increase income."
"What are green manures?","Green manures are crops like sunnhemp and dhaincha grown and plowed into the soil to add nutrients."
"How can I increase egg production in poultry?","Provide balanced feed with calcium, adequate lighting (16 hours per day), disease control, and stress-free housing to increase egg production."
"What is the best feed for dairy cows?","A balanced mix of green fodder, dry fodder, and concentrate feed rich in protein and minerals is best for dairy cows."
"How to prevent mastitis in cows?","Maintain clean housing, proper milking hygiene, regular teat dipping, and vaccination to prevent mastitis."
"What is artificial insemination in livestock?","Artificial insemination is the process of breeding animals using stored semen from superior males, improving genetics."
"What is the gestation period of a cow?","The gestation period of a cow is approximately 9 months (280 days)."
"How to increase body weight in goats?","Provide high-protein feed, mineral supplements, deworming, and proper vaccination to increase goat body weight."
"What is the best housing system for poultry?","Deep litter system and cage system are commonly used, with proper ventilation and biosecurity measures."
"How to control ticks in cattle?","Ticks can be controlled by spraying acaricides, maintaining cleanliness, and rotating grazing areas."
"What are common poultry diseases?","Common poultry diseases include Newcastle disease, avian influenza, fowl pox, and coccidiosis."
"What is silage?","Silage is fermented green fodder stored in airtight conditions, used to feed animals during scarcity."
"How much milk does a buffalo give daily?","A healthy Murrah buffalo can give 8–12 liters of milk daily under good management."
"What is the lifespan of a layer hen?","Layer hens are usually productive for 18–24 months before replacement."
"What are probiotics in animal feed?","Probiotics are beneficial microbes added to feed to improve digestion and animal health."
"How to reduce heat stress in poultry?","Provide cool water, ventilation, sprinklers, and electrolytes in feed to reduce heat stress."
"What is fodder maize?","Fodder maize is a special variety of maize grown for animal feed, harvested at milk stage for high nutrition."
"How to detect pregnancy in cows?","Pregnancy can be detected through rectal examination, ultrasound, or observing missed heat cycles."
"What is the average weight gain of broilers?","Broilers gain about 1.5–2 kg body weight in 6 weeks under proper feeding."
"What is the protein requirement of dairy cows?","Dairy cows need 16–18% protein in their total diet for good milk yield."
"How to improve fertility in cattle?","Balanced diet, mineral supplements, heat detection, and avoiding inbreeding improve fertility."
"What is colostrum and why is it important?","Colostrum is the first milk after calving, rich in antibodies that protect newborn calves from diseases."
"How to store animal feed?","Feed should be stored in dry, well-ventilated places in airtight containers to avoid fungal contamination."
"What is backyard poultry farming?","Backyard poultry farming is small-scale poultry keeping in villages for family nutrition and extra income."
"Which goat breed is best for milk?","Jamunapari and Saanen are high milk-yielding goat breeds."
"What is the best housing for dairy cows?","Loose housing with open paddocks, shade, and proper drainage is recommended for dairy cows."
"How to prevent foot-and-mouth disease in cattle?","Regular vaccination, isolation of infected animals, and proper sanitation prevent foot-and-mouth disease."
"What is the best fertilizer for mango trees?","Mango trees respond well to a mix of farmyard manure, urea, single super phosphate, and muriate of potash applied annually."
"How often should banana plants be irrigated?","Banana plants require irrigation every 7–10 days in winter and 3–5 days in summer, depending on soil and climate."
"What is the spacing for papaya planting?","Papaya should be planted at 1.8 m × 1.8 m or 2 m × 2 m spacing for good growth and yield."
"How to control fruit flies in guava?","Use pheromone traps, bagging of fruits, and spraying neem-based insecticides to control fruit flies."
"What is the average yield of bananas per acre?","Banana yield ranges from 30–40 tons per acre under good management practices."
"How to improve flowering in pomegranate?","Apply balanced fertilizers, regular pruning, and regulated irrigation to induce more flowering in pomegranate."
"What is the best season for planting apple trees?","Apple trees should be planted in late winter or early spring when the soil is workable."
"What is grafting in horticulture?","Grafting is joining parts of two plants (rootstock and scion) so that they grow as one, commonly used in fruit crops."
"How to store harvested onions?","Onions should be cured properly and stored in well-ventilated, dry conditions to avoid sprouting and rotting."
"Which vegetables are good for polyhouse farming?","Tomato, cucumber, capsicum, lettuce, and exotic vegetables grow well in polyhouses."
"How to control late blight in potatoes?","Spray fungicides like Mancozeb or Metalaxyl, ensure proper drainage, and avoid waterlogging to control late blight."
"What is the shelf life of tomatoes after harvest?","Fresh tomatoes last 7–10 days under room temperature and up to 3 weeks under cold storage."
"Which fertilizer is best for chilies?","Chili requires nitrogen, phosphorus, and potassium-rich fertilizers, with calcium nitrate for better fruit set."
"How to increase sugar content in grapes?","Regulated irrigation, potassium application, and proper canopy management help increase sugar content in grapes."
"What are hybrid vegetable seeds?","Hybrid seeds are developed by crossing two genetically different parent lines to improve yield, disease resistance, and quality."
"How to control powdery mildew in cucurbits?","Use resistant varieties, avoid overcrowding, and apply sulfur-based fungicides."
"What is tissue culture in horticulture?","Tissue culture is a method of producing disease-free planting material in a laboratory from small plant tissues."
"Which vegetable is most profitable for farmers?","Tomatoes, onions, chilies, and leafy greens are among the most profitable vegetable crops."
"How to store apples long-term?","Store apples at 0–4°C with high humidity in controlled atmosphere storage for several months."
"What are exotic vegetables?","Exotic vegetables include broccoli, lettuce, zucchini, cherry tomato, and asparagus, which fetch higher market prices."
"What is pruning in fruit crops?","Pruning is removing unwanted branches to improve sunlight penetration, air circulation, and fruit quality."
"How to prevent cracking in pomegranates?","Maintain regular irrigation, avoid sudden moisture stress, and use boron sprays to prevent fruit cracking."
"What is the average yield of tomatoes per acre?","Tomatoes yield around 10–15 tons per acre under open-field cultivation and up to 40 tons in polyhouses."
"Which is the best fertilizer for citrus fruits?","Citrus fruits require balanced NPK, along with micronutrients like zinc and iron for healthy growth."
"How to improve the size of guava fruits?","Proper pruning, balanced fertilizers, and regulated irrigation improve fruit size in guava."
"How to control aphids in crops?","Aphids can be controlled by spraying neem oil, using insecticidal soaps, or introducing natural predators like ladybird beetles."
"What are biological control agents?","Biological control agents are beneficial organisms like Trichogramma, predators, or parasitoids used to manage pests naturally."
"How to prevent termite attack in sugarcane?","Treat setts with insecticides before planting, maintain field hygiene, and avoid waterlogging."
"What is integrated pest management (IPM)?","IPM is an eco-friendly approach combining biological, cultural, and chemical methods to control pests with minimal harm."
"How to control whiteflies in cotton?","Whiteflies can be controlled by yellow sticky traps, neem sprays, and selective insecticides."
"What is drip irrigation?","Drip irrigation delivers water directly to plant roots in small amounts, saving water and improving yield."
"How to prevent waterlogging in fields?","Construct drainage channels, practice raised-bed farming, and ensure proper field leveling."
"What are sprinkler irrigation systems?","Sprinklers spray water over crops like natural rainfall, suitable for vegetables, cereals, and fodder crops."
"What is rainwater harvesting?","Rainwater harvesting is collecting and storing rainwater for irrigation and groundwater recharge."
"What is watershed management?","Watershed management involves soil conservation, water harvesting, and land-use planning for sustainable agriculture."
"How to use solar pumps in agriculture?","Solar pumps run on solar panels, useful for irrigation in remote areas with no electricity."
"What is PM-KISAN scheme?","PM-KISAN provides income support of ₹6000 per year to small and marginal farmers in India."
"What is Kisan Credit Card (KCC)?","KCC provides farmers with timely credit for crop production, purchase of equipment, and other agricultural expenses."
"What are FPOs (Farmer Producer Organizations)?","FPOs are groups of farmers who pool resources for collective marketing, input purchase, and better bargaining power."
"What is crop insurance?","Crop insurance protects farmers against crop loss due to natural calamities, pests, or diseases."
"What is soil health card scheme?","This government scheme provides farmers with soil test reports and fertilizer recommendations."
"What is eNAM (National Agriculture Market)?","eNAM is an online trading platform for farmers to sell produce directly across India."
"What is organic certification?","Organic certification is a process that ensures produce is grown without synthetic chemicals and meets organic standards."
"How to apply for agriculture subsidies?","Farmers can apply through local agriculture offices, online portals, or common service centers."
"What is climate-smart agriculture?","Climate-smart agriculture includes practices that increase productivity, adapt to climate change, and reduce greenhouse gases."
"What are drought-resistant crops?","Crops like millets, sorghum, pigeon pea, and chickpea are more tolerant to drought."
"What is conservation agriculture?","Conservation agriculture involves minimum tillage, crop residue retention, and crop rotation for soil and water conservation."
"What are precision irrigation systems?","These systems deliver the right amount of water at the right time using sensors and automation."
"What is vertical farming?","Vertical farming is growing crops in stacked layers using controlled environments, often with hydroponics or aeroponics."
"How can farmers adapt to climate change?","Farmers can use drought-tolerant varieties, diversify crops, adopt water-saving technologies, and use weather-based advisories."
"What is the best way to sell farm produce?","Farmers can sell through local mandis, Farmer Producer Organizations (FPOs), contract farming, or online platforms like eNAM."
"How can farmers get better prices for crops?","By collective marketing through FPOs, storing produce until demand rises, and selling directly to consumers."
"What is contract farming?","Contract farming is when a farmer agrees to grow crops for a company under a pre-agreed price and quality standards."
"How to reduce middlemen in agriculture marketing?","Use FPOs, eNAM, direct-to-consumer models, or cooperative societies."
"What is MSP (Minimum Support Price)?","MSP is the price at which the government purchases certain crops to protect farmers from price fluctuations."
"Which crops are covered under MSP?","Crops like wheat, rice, pulses, oilseeds, cotton, and some coarse cereals are covered under MSP."
"How can farmers check market prices?","Farmers can check prices on eNAM, Agmarknet, state mandi portals, or mobile apps like Kisan Suvidha."
"What is warehouse receipt financing?","Farmers can deposit produce in certified warehouses and get loans against warehouse receipts."
"What are cold storage facilities?","Cold storage helps preserve fruits, vegetables, dairy, and fish for longer periods to reduce post-harvest losses."
"What is value addition in agriculture?","Value addition means processing raw produce into products like tomato ketchup, jam, chips, or flour to increase income."
"How can farmers export crops?","By registering with APEDA, meeting quality standards, and connecting with exporters or cooperatives."
"What is grading and sorting in agriculture?","Grading sorts produce based on size, quality, and weight to fetch better prices in the market."
"What is organic farming market demand?","Organic fruits, vegetables, and cereals have high demand in cities due to health awareness."
"How to start an online business for farm products?","Farmers can sell through e-commerce platforms, apps, or social media marketing."
"What is collective bargaining in agriculture?","When farmers unite under cooperatives or FPOs to sell in bulk, they get better bargaining power."
"What is food processing industry role in agriculture?","It buys raw produce from farmers, processes it, and creates higher-value products for markets."
"What are Agri-export zones?","Special zones set up to promote export of specific crops by providing infrastructure and market support."
"How to reduce post-harvest losses?","By proper storage, cold chain, packaging, grading, and timely transportation."
"What is GI tagging in agriculture?","Geographical Indication tagging identifies crops linked to a specific region, like Darjeeling tea or Basmati rice."
"What are farmer markets (Kisan bazaars)?","Direct-to-consumer markets where farmers sell produce without middlemen."
"What is branding in agriculture?","Branding packaged products with unique labels, quality marks, and certifications helps attract premium buyers."
"What are commodity boards in India?","Boards like Coffee Board, Tea Board, and Spices Board support farmers with marketing and export help."
"How to access government marketing schemes?","Farmers can visit agriculture department offices or online portals like agri-marketing.gov.in."
"What is farm-to-fork model?","This model connects farmers directly to consumers or restaurants, ensuring better income and fresh food supply."
"What are Farmer Producer Companies (FPCs)?","Registered groups of farmers who market produce, provide inputs, and negotiate better deals collectively."
"What crops are best for Punjab?","Punjab is suitable for wheat, rice (paddy), maize, cotton, sugarcane, and vegetables due to fertile soil and irrigation facilities."
"What crops are best for Haryana?","Haryana farmers grow wheat, rice, cotton, sugarcane, and sunflower. The state is also good for dairy and horticulture."
"What crops are best for Uttar Pradesh?","Uttar Pradesh supports wheat, sugarcane, rice, pulses, potato, mango, and vegetables due to Ganga basin fertile soils."
"What crops are best for Bihar?","Bihar is ideal for maize, rice, wheat, lentils, vegetables, and litchi fruit."
"What crops are best for West Bengal?","West Bengal produces rice, jute, tea, potato, vegetables, and fishery products. Darjeeling tea is world famous."
"What crops are best for Odisha?","Odisha grows rice, pulses, oilseeds, groundnut, and cashew. Coastal areas support coconut and fisheries."
"What crops are best for Madhya Pradesh?","Known as the Soybean state, MP grows soybean, wheat, pulses, maize, and oilseeds."
"What crops are best for Maharashtra?","Maharashtra is suitable for cotton, sugarcane, sorghum (jowar), soybean, pulses, onion, and grapes."
"What crops are best for Gujarat?","Gujarat produces groundnut, cotton, millet (bajra), cumin, sesame, and horticultural crops like mango and onion."
"What crops are best for Rajasthan?","Rajasthan grows bajra (pearl millet), wheat, mustard, pulses, cumin, and guar. It is also famous for horticulture in arid areas."
"What crops are best for Himachal Pradesh?","Himachal Pradesh specializes in apple orchards, stone fruits (peach, plum), potato, maize, and vegetables."
"What crops are best for Jammu & Kashmir?","J&K is known for saffron, apple, walnut, almond, rice, and maize."
"What crops are best for Karnataka?","Karnataka produces ragi, maize, rice, pulses, sugarcane, coffee, and spices like pepper and cardamom."
"What crops are best for Andhra Pradesh?","AP grows rice, maize, cotton, chili, tobacco, and mango. Coastal AP is good for aquaculture."
"What crops are best for Telangana?","Telangana grows rice, maize, cotton, turmeric, groundnut, and pulses."
"What crops are best for Kerala?","Kerala specializes in coconut, rubber, black pepper, cardamom, coffee, tea, banana, and paddy."
"What crops are best for Tamil Nadu?","Tamil Nadu produces rice, sugarcane, cotton, banana, groundnut, and millets. Western TN supports tea and coffee."
"What crops are best for Chhattisgarh?","Chhattisgarh is known as the Rice Bowl of India. It produces rice, maize, pulses, oilseeds, and minor millets."
"What crops are best for Jharkhand?","Jharkhand grows rice, maize, pulses, oilseeds, lac, and horticultural crops like vegetables and fruits."
"What crops are best for Assam?","Assam is famous for tea, rice, jute, pulses, and horticultural crops like orange and banana."
"What crops are best for Meghalaya?","Meghalaya grows rice, maize, potato, ginger, turmeric, and pineapple. Hills support spices."
"What crops are best for Nagaland?","Nagaland produces rice, maize, millet, pulses, oilseeds, and horticultural crops like orange and pineapple."
"What crops are best for Manipur?","Manipur grows rice, maize, pulses, ginger, pineapple, and bamboo shoots."
"What crops are best for Mizoram?","Mizoram supports rice, maize, orange, banana, turmeric, and ginger cultivation."
"What crops are best for Tripura?","Tripura grows rice, pineapple, jackfruit, tea, rubber, and bamboo-based products."
"What crops are best for Arunachal Pradesh?","Arunachal grows rice, maize, millets, ginger, orange, and large cardamom."
"What is the best way to sell farm produce?","Farmers can sell through local mandis, Farmer Producer Organizations (FPOs), contract farming, or online platforms like eNAM."
"How can farmers get better prices for crops?","By collective marketing through FPOs, storing produce until demand rises, and selling directly to consumers."
"What is contract farming?","Contract farming is when a farmer agrees to grow crops for a company under a pre-agreed price and quality standards."
"How to reduce middlemen in agriculture marketing?","Use FPOs, eNAM, direct-to-consumer models, or cooperative societies."
"What is MSP (Minimum Support Price)?","MSP is the price at which the government purchases certain crops to protect farmers from price fluctuations."
"Which crops are covered under MSP?","Crops like wheat, rice, pulses, oilseeds, cotton, and some coarse cereals are covered under MSP."
"How can farmers check market prices?","Farmers can check prices on eNAM, Agmarknet, state mandi portals, or mobile apps like Kisan Suvidha."
"What is warehouse receipt financing?","Farmers can deposit produce in certified warehouses and get loans against warehouse receipts."
"What are cold storage facilities?","Cold storage helps preserve fruits, vegetables, dairy, and fish for longer periods to reduce post-harvest losses."
"What is value addition in agriculture?","Value addition means processing raw produce into products like tomato ketchup, jam, chips, or flour to increase income."
"How can farmers export crops?","By registering with APEDA, meeting quality standards, and connecting with exporters or cooperatives."
"What is grading and sorting in agriculture?","Grading sorts produce based on size, quality, and weight to fetch better prices in the market."
"What is organic farming market demand?","Organic fruits, vegetables, and cereals have high demand in cities due to health awareness."
"How to start an online business for farm products?","Farmers can sell through e-commerce platforms, apps, or social media marketing."
"What is collective bargaining in agriculture?","When farmers unite under cooperatives or FPOs to sell in bulk, they get better bargaining power."
"What is food processing industry role in agriculture?","It buys raw produce from farmers, processes it, and creates higher-value products for markets."
"What are Agri-export zones?","Special zones set up to promote export of specific crops by providing infrastructure and market support."
"How to reduce post-harvest losses?","By proper storage, cold chain, packaging, grading, and timely transportation."
"What is GI tagging in agriculture?","Geographical Indication tagging identifies crops linked to a specific region, like Darjeeling tea or Basmati rice."
"What are farmer markets (Kisan bazaars)?","Direct-to-consumer markets where farmers sell produce without middlemen."
"What is branding in agriculture?","Branding packaged products with unique labels, quality marks, and certifications helps attract premium buyers."
"What are commodity boards in India?","Boards like Coffee Board, Tea Board, and Spices Board support farmers with marketing and export help."
"How to access government marketing schemes?","Farmers can visit agriculture department offices or online portals like agri-marketing.gov.in."
"What is farm-to-fork model?","This model connects farmers directly to consumers or restaurants, ensuring better income and fresh food supply."
"What are Farmer Producer Companies (FPCs)?","Registered groups of farmers who market produce, provide inputs, and negotiate better deals collectively."
"How to control aphids in crops?","Aphids can be controlled by spraying neem oil, using insecticidal soaps, or introducing natural predators like ladybird beetles."
"What are biological control agents?","Biological control agents are beneficial organisms like Trichogramma, predators, or parasitoids used to manage pests naturally."
"How to prevent termite attack in sugarcane?","Treat setts with insecticides before planting, maintain field hygiene, and avoid waterlogging."
"What is integrated pest management (IPM)?","IPM is an eco-friendly approach combining biological, cultural, and chemical methods to control pests with minimal harm."
"How to control whiteflies in cotton?","Whiteflies can be controlled by yellow sticky traps, neem sprays, and selective insecticides."
"What is drip irrigation?","Drip irrigation delivers water directly to plant roots in small amounts, saving water and improving yield."
"How to prevent waterlogging in fields?","Construct drainage channels, practice raised-bed farming, and ensure proper field leveling."
"What are sprinkler irrigation systems?","Sprinklers spray water over crops like natural rainfall, suitable for vegetables, cereals, and fodder crops."
"What is rainwater harvesting?","Rainwater harvesting is collecting and storing rainwater for irrigation and groundwater recharge."
"What is watershed management?","Watershed management involves soil conservation, water harvesting, and land-use planning for sustainable agriculture."
"How to use solar pumps in agriculture?","Solar pumps run on solar panels, useful for irrigation in remote areas with no electricity."
"What is PM-KISAN scheme?","PM-KISAN provides income support of ₹6000 per year to small and marginal farmers in India."
"What is Kisan Credit Card (KCC)?","KCC provides farmers with timely credit for crop production, purchase of equipment, and other agricultural expenses."
"What are FPOs (Farmer Producer Organizations)?","FPOs are groups of farmers who pool resources for collective marketing, input purchase, and better bargaining power."
"What is crop insurance?","Crop insurance protects farmers against crop loss due to natural calamities, pests, or diseases."
"What is soil health card scheme?","This government scheme provides farmers with soil test reports and fertilizer recommendations."
"What is eNAM (National Agriculture Market)?","eNAM is an online trading platform for farmers to sell produce directly across India."
"What is organic certification?","Organic certification is a process that ensures produce is grown without synthetic chemicals and meets organic standards."
"How to apply for agriculture subsidies?","Farmers can apply through local agriculture offices, online portals, or common service centers."
"What is climate-smart agriculture?","Climate-smart agriculture includes practices that increase productivity, adapt to climate change, and reduce greenhouse gases."
"What are drought-resistant crops?","Crops like millets, sorghum, pigeon pea, and chickpea are more tolerant to drought."
"What is conservation agriculture?","Conservation agriculture involves minimum tillage, crop residue retention, and crop rotation for soil and water conservation."
"What are precision irrigation systems?","These systems deliver the right amount of water at the right time using sensors and automation."
"What is vertical farming?","Vertical farming is growing crops in stacked layers using controlled environments, often with hydroponics or aeroponics."
"How can farmers adapt to climate change?","Farmers can use drought-tolerant varieties, diversify crops, adopt water-saving technologies, and use weather-based advisories."
"What is the best fertilizer for mango trees?","Mango trees respond well to a mix of farmyard manure, urea, single super phosphate, and muriate of potash applied annually."
"How often should banana plants be irrigated?","Banana plants require irrigation every 7–10 days in winter and 3–5 days in summer, depending on soil and climate."
"What is the spacing for papaya planting?","Papaya should be planted at 1.8 m × 1.8 m or 2 m × 2 m spacing for good growth and yield."
"How to control fruit flies in guava?","Use pheromone traps, bagging of fruits, and spraying neem-based insecticides to control fruit flies."
"What is the average yield of bananas per acre?","Banana yield ranges from 30–40 tons per acre under good management practices."
"How to improve flowering in pomegranate?","Apply balanced fertilizers, regular pruning, and regulated irrigation to induce more flowering in pomegranate."
"What is the best season for planting apple trees?","Apple trees should be planted in late winter or early spring when the soil is workable."
"What is grafting in horticulture?","Grafting is joining parts of two plants (rootstock and scion) so that they grow as one, commonly used in fruit crops."
"How to store harvested onions?","Onions should be cured properly and stored in well-ventilated, dry conditions to avoid sprouting and rotting."
"Which vegetables are good for polyhouse farming?","Tomato, cucumber, capsicum, lettuce, and exotic vegetables grow well in polyhouses."
"How to control late blight in potatoes?","Spray fungicides like Mancozeb or Metalaxyl, ensure proper drainage, and avoid waterlogging to control late blight."
"What is the shelf life of tomatoes after harvest?","Fresh tomatoes last 7–10 days under room temperature and up to 3 weeks under cold storage."
"Which fertilizer is best for chilies?","Chili requires nitrogen, phosphorus, and potassium-rich fertilizers, with calcium nitrate for better fruit set."
"How to increase sugar content in grapes?","Regulated irrigation, potassium application, and proper canopy management help increase sugar content in grapes."
"What are hybrid vegetable seeds?","Hybrid seeds are developed by crossing two genetically different parent lines to improve yield, disease resistance, and quality."
"How to control powdery mildew in cucurbits?","Use resistant varieties, avoid overcrowding, and apply sulfur-based fungicides."
"What is tissue culture in horticulture?","Tissue culture is a method of producing disease-free planting material in a laboratory from small plant tissues."
"Which vegetable is most profitable for farmers?","Tomatoes, onions, chilies, and leafy greens are among the most profitable vegetable crops."
"How to store apples long-term?","Store apples at 0–4°C with high humidity in controlled atmosphere storage for several months."
"What are exotic vegetables?","Exotic vegetables include broccoli, lettuce, zucchini, cherry tomato, and asparagus, which fetch higher market prices."
"What is pruning in fruit crops?","Pruning is removing unwanted branches to improve sunlight penetration, air circulation, and fruit quality."
"How to prevent cracking in pomegranates?","Maintain regular irrigation, avoid sudden moisture stress, and use boron sprays to prevent fruit cracking."
"What is the average yield of tomatoes per acre?","Tomatoes yield around 10–15 tons per acre under open-field cultivation and up to 40 tons in polyhouses."
"Which is the best fertilizer for citrus fruits?","Citrus fruits require balanced NPK, along with micronutrients like zinc and iron for healthy growth."
"How to improve the size of guava fruits?","Proper pruning, balanced fertilizers, and regulated irrigation improve fruit size in guava."

"How to control yellow rust in wheat?","Use resistant varieties and apply fungicides like Propiconazole."
"What causes wheat leaves to turn yellow?","It may be due to nitrogen deficiency or yellow rust infection."
"How to treat blast disease in rice?","Use resistant varieties and spray Tricyclazole fungicide."
"Why are rice leaves turning brown?","It may be due to brown spot disease; spray Mancozeb."
"How to control bacterial blight in rice?","Use disease-free seeds and apply copper fungicides."
"What causes maize leaves to curl?","It can be due to maize streak virus or insect attack."
"How to control fall armyworm in maize?","Use pheromone traps and recommended insecticides like Emamectin Benzoate."
"Why are maize cobs rotting?","It may be due to fungal infection; avoid waterlogging and use seed treatment."
"How to treat cotton wilt disease?","Practice crop rotation and use fungicide seed treatment."
"Why are cotton bolls dropping?","It may be due to pink bollworm or water stress."
"How to control bollworm in cotton?","Use pheromone traps and spray recommended insecticides."
"What causes leaf curl in cotton?","Cotton leaf curl virus spread by whiteflies; control whitefly population."
"How to treat red rot in sugarcane?","Use disease-free seed sets and resistant varieties."
"Why is sugarcane drying from the top?","It may be due to top shoot borer or drought stress."
"How to control smut in sugarcane?","Use hot water treatment for seed sets and resistant varieties."
"What causes black spots on tomato leaves?","It may be early blight; use Mancozeb or Chlorothalonil sprays."
"How to control tomato leaf curl virus?","Use virus-free seedlings and control whiteflies."
"Why are tomato fruits cracking?","It is due to irregular watering or boron deficiency."
"How to treat bacterial wilt in tomato?","Remove affected plants and avoid waterlogging."
"What causes powdery mildew in vegetables?","Fungal infection; spray Sulphur or systemic fungicides."
"How to control downy mildew in cucumbers?","Provide good ventilation and spray Metalaxyl-based fungicides."
"Why are brinjal leaves turning yellow?","It may be due to little leaf disease caused by phytoplasma."
"How to treat fruit borer in brinjal?","Use neem-based sprays or recommended insecticides."
"What causes leaf spots in groundnut?","It may be early/late leaf spot; spray Mancozeb or Chlorothalonil."
"How to control rust in groundnut?","Use resistant varieties and spray Carbendazim."
"Why are potato leaves curling?","It may be due to potato leaf roll virus."
"How to control late blight in potato?","Spray Mancozeb or Metalaxyl-Mancozeb combination."
"Why are potato tubers rotting?","Due to soft rot; avoid injuries and ensure proper storage."
"What causes mango leaves to blacken?","It may be due to anthracnose disease."
"How to treat powdery mildew in mango?","Spray wettable sulphur or systemic fungicides."
"Why are mango fruits dropping?","It can be due to fungal infection or lack of nutrients."
"How to control citrus canker?","Spray copper-based fungicides and remove infected twigs."
"Why are citrus leaves yellowing?","It may be due to zinc deficiency or greening disease."
"How to control black sigatoka in banana?","Remove infected leaves and spray systemic fungicides."
